date	heart_rate
2014-12-20 9:52:21	87
2014-12-20 9:52:22	87
2014-12-20 10:2:21	87
2015-1-6 9:48:11	87
2015-1-8 15:10:15	87
2015-1-21 9:38:23	87
2015-1-21 9:38:24	87
2014-12-15 16:10:44	86
2014-12-15 16:22:47	86
2014-12-15 16:22:48	86
2014-12-20 8:51:37	86
2014-12-20 9:52:2	86
2014-12-20 9:52:12	86
2014-12-20 9:52:14	86
2015-1-20 10:27:24	86
2015-1-21 9:38:19	86
2015-1-23 14:8:5	86
2015-1-23 14:8:6	86
2015-1-23 14:8:7	86
2014-12-15 16:22:49	85
2014-12-20 9:52:0	85
2014-12-20 9:52:1	85
2014-12-20 9:52:3	85
2014-12-20 9:52:4	85
2014-12-20 9:52:13	85
2014-12-20 9:52:15	85
2014-12-20 9:52:16	85
2014-12-20 9:52:20	85
2014-12-20 10:2:25	85
2015-1-6 9:48:3	85
2015-1-6 9:48:4	85
2015-1-6 9:48:5	85
2015-1-6 9:48:6	85
2015-1-6 9:48:7	85
2015-1-7 15:23:29	85
2015-1-7 15:23:30	85
2015-1-24 8:22:44	85
2014-12-19 14:16:51	84
2014-12-19 14:16:52	84
2014-12-20 10:2:22	84
2015-1-6 9:48:2	84
2015-1-6 9:48:8	84
2015-1-6 9:48:9	84
2015-1-6 9:48:10	84
2015-1-20 10:27:25	84
2015-1-23 11:13:41	84
2015-1-23 14:8:42	84
2015-1-23 14:8:43	84
2015-1-24 8:22:43	84
2015-1-24 8:22:45	84
2014-12-20 9:52:17	83
2014-12-20 10:2:23	83
2014-12-20 10:2:24	83
2015-1-7 15:23:31	83
2015-1-8 15:10:16	83
2015-1-23 14:8:44	83
2015-1-24 10:3:56	83
2014-12-19 13:5:22	82
2014-12-19 13:5:23	82
2014-12-19 14:16:53	82
2014-12-19 14:16:54	82
2014-12-19 14:16:55	82
2014-12-20 9:52:18	82
2015-1-8 15:10:17	82
2015-1-20 10:56:46	82
2015-1-23 14:8:48	82
2015-1-24 8:22:46	82
2014-12-19 13:5:19	81
2014-12-19 13:5:20	81
2014-12-19 13:5:21	81
2014-12-19 14:16:56	81
2014-12-20 9:52:19	81
2015-1-8 11:20:56	81
2015-1-8 14:56:45	81
2015-1-8 14:56:46	81
2015-1-8 14:57:2	81
2015-1-8 14:57:3	81
2015-1-8 14:57:4	81
2015-1-23 14:8:8	81
2015-1-23 14:8:45	81
2014-12-19 13:5:24	80
2014-12-19 14:16:59	80
2014-12-19 14:17:0	80
2014-12-19 14:17:5	80
2014-12-19 14:17:7	80
2014-12-19 14:17:14	80
2014-12-19 14:17:15	80
2015-1-7 15:23:32	80
2015-1-8 14:56:47	80
2015-1-8 14:56:48	80
2015-1-8 14:56:49	80
2015-1-8 14:57:1	80
2015-1-8 14:57:5	80
2015-1-24 8:22:50	80
2014-12-19 13:0:11	79
2014-12-19 13:5:18	79
2014-12-19 14:16:33	79
2014-12-19 14:16:34	79
2014-12-19 14:16:35	79
2014-12-19 14:16:36	79
2014-12-19 14:16:37	79
2014-12-19 14:16:38	79
2014-12-19 14:16:39	79
2014-12-19 14:16:40	79
2014-12-19 14:16:41	79
2014-12-19 14:16:42	79
2014-12-19 14:16:43	79
2014-12-19 14:16:46	79
2014-12-19 14:16:47	79
2014-12-19 14:16:48	79
2014-12-19 14:16:49	79
2014-12-19 14:16:50	79
2014-12-19 14:17:1	79
2014-12-19 14:17:8	79
2014-12-19 14:17:12	79
2014-12-19 14:17:13	79
2015-1-7 11:57:4	79
2015-1-8 14:56:50	79
2015-1-8 14:56:51	79
2015-1-8 14:56:52	79
2015-1-8 14:56:53	79
2015-1-8 14:56:54	79
2015-1-8 14:56:55	79
2015-1-8 14:57:0	79
2015-1-8 15:10:18	79
2015-1-20 10:56:45	79
2015-1-23 14:8:46	79
2015-1-23 14:8:47	79
2015-1-24 8:22:47	79
2015-1-24 8:22:48	79
2015-1-24 8:22:49	79
2015-1-24 11:30:43	79
2014-12-19 13:0:10	78
2014-12-19 13:0:12	78
2014-12-19 13:3:44	78
2014-12-19 13:3:45	78
2014-12-19 13:3:46	78
2014-12-19 14:16:57	78
2014-12-19 14:16:58	78
2014-12-19 14:17:2	78
2014-12-19 14:17:4	78
2014-12-19 14:17:6	78
2014-12-19 14:17:9	78
2014-12-19 14:17:10	78
2014-12-19 14:17:11	78
2014-12-19 14:17:16	78
2015-1-6 10:51:37	78
2015-1-6 10:51:38	78
2015-1-6 10:51:39	78
2015-1-6 10:51:40	78
2015-1-7 16:44:56	78
2015-1-7 16:44:57	78
2015-1-7 16:44:58	78
2015-1-8 14:56:56	78
2015-1-8 14:56:57	78
2015-1-8 14:56:59	78
2015-1-8 14:57:6	78
2015-1-8 14:57:7	78
2015-1-11 12:24:26	78
2015-1-23 14:8:9	78
2014-12-19 13:3:42	77
2014-12-19 13:3:43	77
2014-12-19 13:3:47	77
2014-12-19 13:3:48	77
2014-12-19 13:3:50	77
2014-12-19 13:3:54	77
2014-12-19 13:5:17	77
2014-12-19 14:16:44	77
2014-12-19 14:16:45	77
2014-12-19 14:17:3	77
2014-12-19 14:17:17	77
2015-1-6 10:16:22	77
2015-1-6 10:16:23	77
2015-1-6 10:16:29	77
2015-1-6 10:16:30	77
2015-1-6 10:16:31	77
2015-1-6 10:16:32	77
2015-1-6 10:51:41	77
2015-1-7 11:57:3	77
2015-1-7 11:57:5	77
2015-1-7 16:44:59	77
2015-1-7 16:45:0	77
2015-1-8 14:56:58	77
2015-1-8 15:10:19	77
2014-12-19 13:0:9	76
2014-12-19 13:1:48	76
2014-12-19 13:3:37	76
2014-12-19 13:3:38	76
2014-12-19 13:3:39	76
2014-12-19 13:3:40	76
2014-12-19 13:3:41	76
2014-12-19 13:3:49	76
2014-12-19 13:3:51	76
2014-12-19 13:3:53	76
2014-12-19 13:3:55	76
2014-12-19 14:17:18	76
2015-1-6 10:3:23	76
2015-1-6 10:16:21	76
2015-1-6 10:16:24	76
2015-1-6 10:16:28	76
2015-1-6 10:51:42	76
2015-1-6 10:51:43	76
2015-1-6 10:51:44	76
2015-1-7 16:45:1	76
2015-1-11 13:55:21	76
2015-1-11 13:55:22	76
2015-1-11 13:55:23	76
2015-1-11 13:55:24	76
2015-1-15 11:34:9	76
2015-1-23 14:8:10	76
2015-1-23 14:8:12	76
2014-12-19 13:0:0	75
2014-12-19 13:0:1	75
2014-12-19 13:0:2	75
2014-12-19 13:0:3	75
2014-12-19 13:0:13	75
2014-12-19 13:1:46	75
2014-12-19 13:1:47	75
2014-12-19 13:1:49	75
2014-12-19 13:3:17	75
2014-12-19 13:3:36	75
2014-12-19 13:3:52	75
2014-12-19 13:3:58	75
2014-12-19 13:3:59	75
2014-12-19 13:4:0	75
2014-12-19 13:5:25	75
2015-1-6 10:16:20	75
2015-1-6 10:16:25	75
2015-1-6 10:16:27	75
2015-1-6 10:16:33	75
2015-1-6 10:16:34	75
2015-1-7 11:57:6	75
2015-1-7 14:17:34	75
2015-1-8 15:10:20	75
2015-1-11 13:55:3	75
2015-1-11 13:55:4	75
2015-1-11 13:55:7	75
2015-1-11 13:55:8	75
2015-1-11 13:55:16	75
2015-1-11 13:55:18	75
2015-1-11 13:55:25	75
2015-1-23 14:8:11	75
2015-1-24 11:30:44	75
2014-12-19 12:59:59	74
2014-12-19 13:0:4	74
2014-12-19 13:0:8	74
2014-12-19 13:1:45	74
2014-12-19 13:1:50	74
2014-12-19 13:1:51	74
2014-12-19 13:3:15	74
2014-12-19 13:3:16	74
2014-12-19 13:3:18	74
2014-12-19 13:3:20	74
2014-12-19 13:3:21	74
2014-12-19 13:3:56	74
2014-12-19 13:3:57	74
2014-12-19 13:4:1	74
2014-12-19 13:6:40	74
2014-12-19 13:7:23	74
2014-12-19 13:7:24	74
2014-12-19 13:7:25	74
2014-12-19 14:17:19	74
2014-12-19 14:17:32	74
2015-1-6 10:16:11	74
2015-1-6 10:16:19	74
2015-1-6 10:16:26	74
2015-1-6 10:16:35	74
2015-1-6 10:16:36	74
2015-1-6 10:16:37	74
2015-1-6 10:16:38	74
2015-1-6 10:16:39	74
2015-1-7 11:57:7	74
2015-1-7 14:17:33	74
2015-1-7 14:17:35	74
2015-1-7 14:17:36	74
2015-1-7 15:23:33	74
2015-1-7 15:23:34	74
2015-1-7 16:45:2	74
2015-1-8 10:41:23	74
2015-1-11 13:55:5	74
2015-1-11 13:55:15	74
2015-1-11 13:55:19	74
2015-1-11 13:55:20	74
2015-1-15 11:34:9	74
2014-12-19 12:59:58	73
2014-12-19 13:0:5	73
